,island,sent_number,token,critical,surprisal
0,0,1,書いた,0,0.0
1,0,1,エッ,0,15.536590576171900
2,0,1,セー,0,1.389255166053770
3,0,1,が,0,4.5382080078125
4,0,1,作家,0,12.75168228149410
5,0,1,に,0,5.070095539093020
6,0,1,称賛,0,11.575746536254900
7,0,1,された,0,1.355974555015560
8,0,1,の,0,4.631187438964840
9,0,1,で,0,2.0657413005828900
10,0,1,、,0,0.4123910069465640
11,0,1,女性,1,11.49382495880130
12,0,1,議員,1,12.963424682617200
13,0,1,は,1,3.5542402267456100
14,0,1,感謝,1,12.521831512451200
15,0,1,を述べた,1,7.046693325042730
16,0,1,。,1,0.2857113480567930
0,0,2,書いた,0,0.0
1,0,2,論文,0,12.295184135437000
2,0,2,が,0,4.376126289367680
3,0,2,世界中の,0,14.085990905761700
4,0,2,学者,0,6.677635192871090
5,0,2,から,0,2.628882884979250
6,0,2,注目された,0,4.318789958953860
7,0,2,の,0,4.68753719329834
8,0,2,で,0,2.548536539077760
9,0,2,、,0,0.37465664744377100
10,0,2,教授,1,11.233503341674800
11,0,2,は,1,4.111591815948490
12,0,2,多忙,1,13.487122535705600
13,0,2,を極め,1,2.9493207931518600
14,0,2,た,1,1.648245930671690
15,0,2,。,1,0.10748365521431000
0,0,3,購入した,0,0.0
1,0,3,絵画,0,12.651392936706500
2,0,3,が,0,3.4724810123443600
3,0,3,先,0,13.761999130249000
4,0,3,日,0,10.83268928527830
5,0,3,公表された,0,10.388941764831500
6,0,3,の,0,4.6401166915893600
7,0,3,で,0,1.6567529439926100
8,0,3,、,0,0.3830287456512450
9,0,3,美術館,1,9.411799430847170
10,0,3,長は,1,9.099539756774900
11,0,3,展示,1,9.652410507202150
12,0,3,会,1,2.998512029647830
13,0,3,を計画した,1,10.844670295715300
14,0,3,。,1,0.3585728108882900
0,0,4,演じた,0,0.0
1,0,4,芝居,0,14.536979675293000
2,0,4,が,0,4.186683654785160
3,0,4,連,0,12.162755966186500
4,0,4,日,0,1.1093857288360600
5,0,4,マスコミ,0,9.03437614440918
6,0,4,に,0,1.5004398822784400
7,0,4,報道された,0,5.321575164794920
8,0,4,の,0,6.448342323303220
9,0,4,で,0,3.0658645629882800
10,0,4,、,0,0.5047126412391660
11,0,4,役者,1,9.89648151397705
12,0,4,は,1,4.689273357391360
13,0,4,海外,1,10.448010444641100
14,0,4,に招待され,1,11.396066665649400
15,0,4,た,1,2.4409236907959000
16,0,4,。,1,0.2119734287261960
0,0,5,開発した,0,0.0
1,0,5,新,0,10.0293550491333
2,0,5,製品,0,4.73521614074707
3,0,5,が,0,4.566058158874510
4,0,5,今,0,12.471390724182100
5,0,5,朝,0,11.119489669799800
6,0,5,社,0,7.403460502624510
7,0,5,外に,0,13.84907054901120
8,0,5,発表された,0,5.458853244781490
9,0,5,の,0,6.166143417358400
10,0,5,で,0,3.630359649658200
11,0,5,、,0,0.5332645177841190
12,0,5,若手,1,14.672951698303200
13,0,5,社員,1,3.3118603229522700
14,0,5,は,1,3.7933952808380100
15,0,5,誇り,1,15.12213134765630
16,0,5,に,1,2.32279634475708
17,0,5,思った,1,6.281355381011960
18,0,5,。,1,2.436344861984250
0,0,6,デザイン,0,0.0
1,0,6,した,0,7.959830284118650
2,0,6,ドレス,0,11.25715160369870
3,0,6,が,0,4.30812406539917
4,0,6,大,0,10.015020370483400
